Title,Abstract,NCT ID
A Pharmacokinetic Study of Genistein  a Tyrosine Kinase Inhibitor,Genistein is a natural product found in soy beans  its consumption has been associated with       a low incidence of metastatic prostate cancer  Genistein is a known protein tyrosine kinase       inhibitor  and in preclinical studies it has been shown to increase cell adhesion  Increases       in cell adhesion in vivo would phenotypically reverse the first step in the metastatic       cascade  potentially preventing metastasis formation  and is consistent with epidemiologic       findings  This study seeks to determine the pharmacokinetics of genistein in humans by       administering a single dose of genistein and performing a pharmacokinetic analysis  Patients       will be treated with two formulations of genistein  a 43  genistein preparation or a 90        preparation   This is a phase I study  and patients will be treated on one of three dosing       levels  Patients will be randomly assigned to receive one formulation first  followed by a       washout period  and will then receive the second preparation  i e  a randomized cross over       design   Information from this study will be used to optimally design a multiple dose study       wherein patients will be treated for longer periods of time,NCT00001696
Vaccine Therapy With Tumor Specific Mutated VHL Peptides in Adult Cancer Patients With Renal Cell Carcinoma,About 27 000 new cases of renal cell carcinoma  RCC  are diagnosed every year in the United       States  11 000 of these cases will die from the disease  More than half of patients present       with advanced or metastatic disease for which chemotherapy plays a very limited role        Therefore  development of another therapeutic approach is needed  Cancers in humans are       commonly associated with mutations in dominant and recessive oncogenes  These genes produce       mutated proteins that are unique to cancer cells  Von Hipple Lindau  VHL  gene which is       associated with the development of the VHL disease  has been recently mapped and cloned  and       it is found to be mutated in 57  of sporadic renal cell carcinomas         Data in mice have shown the generation of major histocompatibility complex  MHC  restricted       cytotoxic T lymphocyte  CTL  that are capable of detecting endogenous cytoplasmic peptide       derived from mutated oncogenes  In addition  we have recently demonstrated  by conducting       different phase I clinical trials in which we vaccinate cancer patients with mutated Ras or       p53 peptides corresponding to the abnormality patients harbor in their tumors  that in some       patients we can generate immunological responses represented by the generation of       lymphocytes  CD4  and or CD8    In the current study  we would like to extend our       observations to test whether VHL tumor suppressor protein can be immunologically targeted by       vaccination  We have identified specific epitopes along the amino acid sequence of the VHL       protein  which represent known specific human leukocyte antigen  HLA  class I binding       motifs  These amino acids stretches in the VHL protein correspond to the area of the point       mutation hot spots  Therefore  we propose to treat patients with sporadic RCC who carry VHL       mutations in their tumors with corresponding mutant VHL peptide vaccination  This       vaccination will be done either by using pulsed autologous peripheral mononuclear cells with       the peptides  or peptides administered subcutaneously alone or in combination with       cytokines,NCT00001703
p53 Vaccine for Ovarian Cancer,This study will examine whether vaccination with a p53 peptide can boost an immune response       to ovarian cancer and what the side effects are of the vaccine         Many patients with ovarian cancer have an altered  mutated  gene called p53 that causes the       production of abnormal proteins found in their tumor cells  The body s immune system may       try  unsuccessfully  to fight these abnormal proteins  In this study  ovarian cancer       patients with a p53 abnormality will be vaccinated with a p53 peptide a part of the same       abnormal protein found in their tumor to try to boost their body s immune response to the       cancer         Patients will be divided into two groups  Group A will have four p53 peptide vaccinations       three weeks apart  injected under the skin  The injection will include a drug called ISA 51        which increases the effect of the vaccine  This group will also receive two other drugs that       boost the immune system  IL 2 and GM CSF  Group B will have four p53 peptide vaccinations       three weeks apart  The peptide will be mixed with the patient s own blood cells and infused       into a vein  This group will also receive IL 2  but not GM CSF         All study candidates will be tested to see if their cancer has a p53 abnormality and if       their immune system mounted a defense against it  These tests may include a tumor biopsy        removal of a small part of the tumor for microscopic examination   lymphapheresis  a       procedure to take blood  remove white blood cells called lymphocytes  and return the red       cells   and an immune response test similar to a skin test for tuberculosis  During the       study  patients will have additional skin tests and blood tests,NCT00001827
Monoclonal Antibody Therapy in Treating Children With Metastatic Neuroblastoma in Second Remission,RATIONALE  Monoclonal antibodies can locate tumor cells and either kill them or deliver       tumor killing substances to them without harming normal cells         PURPOSE  Phase II trial to study the effectiveness of monoclonal antibody in treating       children with metastatic neuroblastoma in second remission,NCT00002458
Radiation Therapy in Treating Patients With Prostate Cancer,RATIONALE  Radiation therapy uses high energy x rays to damage tumor cells  Radiation       therapy may be an effective treatment for prostate cancer         PURPOSE  Phase I trial to study the effectiveness of radiation therapy in treating patients       who have stage II or stage III prostate cancer,NCT00002480
Radiation Therapy Using 3 Dimensional Treatment Planning in Patients With Non small Cell Lung Cancer,RATIONALE  Radiation therapy uses high energy x rays to damage tumor cells  Computer systems       that allow doctors to create a 3 dimensional picture of the tumor in order to plan treatment       may result in more effective radiation therapy         PURPOSE  Phase I trial to study the effectiveness of high dose radiation therapy planned       using a 3 dimensional picture of the tumor in treating patients who have stage I  stage II        or stage III non small cell lung cancer,NCT00002484
Strontium Compared With Radiation Therapy in Treating Patients With Hormone Refractory Prostate Cancer With Painful Bone Metastases,RATIONALE  Radiolabeled monoclonal antibodies can locate tumor cells and either kill them or       deliver tumor killing substances to them without harming normal cells  This may be an       effective treatment for prostate cancer         PURPOSE  Randomized phase III trial to compare the effectiveness of strontium or radiation       therapy in treating patients with prostate cancer that is refractory to hormone therapy who       have painful bone metastases,NCT00002503
Radiation Therapy Compared With No Further Treatment Following Surgery in Treating Patients With Prostate Cancer,RATIONALE  Radiation therapy uses high energy x rays to damage tumor cells and may be an       effective treatment for prostate cancer         PURPOSE  Randomized phase III trial to compare radiation therapy with no further treatment       in treating patients with stage III prostate cancer following radical prostatectomy,NCT00002511
Paclitaxel Plus Radiation Therapy in Treating Patients With Untreated Stage III Non small Cell Lung Cancer,RATIONALE  Drugs used in chemotherapy use different ways to stop tumor cells from dividing       so they stop growing or die  Combining radiation therapy with chemotherapy may kill more       tumor cells         PURPOSE  Phase I trial to study the effectiveness of chemotherapy with paclitaxel in       combination with radiation therapy to the chest in patients with previously untreated stage       III non small cell lung cancer that cannot be surgically removed,NCT00002519
Hormone Therapy and Chemotherapy in Treating Perimenopausal or Postmenopausal Women With Node Positive Breast Cancer,RATIONALE  Estrogen can stimulate the growth of breast cancer cells  Hormone therapy may       fight breast cancer by blocking the uptake of estrogen  Drugs used in chemotherapy use       different ways to stop tumor cells from dividing so they stop growing or die  Combining       chemotherapy with hormone therapy may kill more tumor cells  It is not yet known which       treatment regimen is more effective for breast cancer         PURPOSE  Randomized phase III trial to compare the effectiveness of hormone therapy during       or after combination chemotherapy or hormone therapy alone in treating perimenopausal or       postmenopausal women who have stage II or stage IIIA breast cancer,NCT00002529
Radiation Therapy Plus Topotecan in Treating Patients With Non small Cell Lung Cancer,Phase I trial to study the effectiveness of radiation therapy plus topotecan in treating       patients who have non small cell lung cancer  Drugs used in chemotherapy use different ways       to stop tumor cells from dividing so they stop growing or die  Combining chemotherapy and       radiation therapy may kill more tumor cells,NCT00002537
Screening for Prostate Cancer in Older Patients  PLCO Screening Trial,This clinical trial studies whether screening methods used to diagnose cancer of the       prostate  lung  colon  rectum  or ovaries can reduce deaths from these cancers  Screening       tests may help doctors find cancer cells early and plan better treatment for prostate       cancer,NCT00002540
Gallium Nitrate in Treating Children With Brain Tumor  Neuroblastoma  Rhabdomyosarcoma  Non Hodgkin s Lymphoma  or Refractory Solid Tumors,RATIONALE  Drugs used in chemotherapy use different ways to stop tumor cells from dividing       so they stop growing or die         PURPOSE    Phase I trial to study the effectiveness of gallium nitrate in young patients who       have malignant brain tumors  neuroblastoma  rhabdomyosarcoma  non Hodgkin s lymphoma  or       refractory solid tumor,NCT00002543
Chemotherapy Plus Radiation Therapy With or Without Surgery in Treating Patients With Stage IIIA Non small Cell Lung Cancer,RATIONALE  Drugs used in chemotherapy use different ways to stop tumor cells from dividing       so they stop growing or die  Combining radiation therapy with chemotherapy may kill more       tumor cells  It is not yet known if chemotherapy plus radiation therapy is more effective       with or without surgery for lung cancer         PURPOSE  Randomized phase III trial to compare the effectiveness of combining cisplatin        etoposide  and radiation therapy with or without surgery in treating patients who have stage       IIIA non small cell lung cancer,NCT00002550
Monoclonal Antibody Therapy Plus Sargramostin in Treating Patients With Advanced Neuroblastoma,RATIONALE  Monoclonal antibodies can locate tumor cells and either kill them or deliver       tumor killing substances to them without harming normal cells  Combining colony stimulating       factors  such as sargramostim  with monoclonal antibodies may be an effective treatment for       advanced neuroblastoma         PURPOSE  Phase II trial to study the effectiveness of monoclonal antibody 3F8 plus       sargramostim in treating patients who have advanced neuroblastoma,NCT00002560
Radiation Therapy in Treating Patients With Non small Cell Lung Cancer,RATIONALE  Radiation therapy uses high energy x rays to damage tumor cells         PURPOSE  Phase I II trial to study the effectiveness of radiation therapy in treating       patients with non small cell lung cancer that cannot be surgically removed,NCT00002577
Vinorelbine Plus Cisplatin or No Further Therapy in Treating Patients With Non small Cell Lung Cancer That Has Been Surgically Removed,RATIONALE  Drugs used in chemotherapy use different ways to stop tumor cells from dividing       so they stop growing or die  It is not yet known if combination chemotherapy is more       effective than no further treatment for non small cell lung cancer         PURPOSE  Randomized phase III trial to compare the effectiveness of vinorelbine plus       cisplatin with that of no further therapy in treating patients who have stage I or stage II       non small cell lung cancer that has been completely removed during surgery,NCT00002583
Radiation Therapy With or Without Antiandrogen Therapy in Treating Patients With Stage I or Stage II Prostate Cancer,RATIONALE  Radiation therapy uses high energy x rays to damage tumor cells  Androgens can       stimulate the growth of prostate cancer cells  Hormone therapy using flutamide  goserelin        and leuprolide may fight prostate cancer by reducing the production of androgens  It is not       yet known which regimen of antiandrogen therapy is most effective for prostate cancer         PURPOSE  Randomized phase III trial to study the effectiveness of radiation therapy with or       without antiandrogen therapy in treating patients who have stage I or stage II prostate       cancer,NCT00002597
Radiation Therapy in Treating Patients With Stage II or Stage III Prostate Cancer,RATIONALE  Radiation therapy uses high energy x rays to damage tumor cells and may be an       effective treatment for prostate cancer         PURPOSE  Phase I II trial to study the effectiveness of radiation therapy in treating       patients who have previously untreated stage II or stage III prostate cancer,NCT00002602
Chemotherapy Followed by Surgery or Radiation Therapy in Treating Patients With Stage III Non small Cell Lung Cancer,RATIONALE  Drugs used in chemotherapy use different ways to stop tumor cells from dividing       so they stop growing or die  Giving a chemotherapy drug before surgery may shrink the tumor       so that it can be removed during surgery  Radiation therapy uses high energy x rays to       damage tumor cells  It is not yet known whether chemotherapy followed by surgery with or       without radiation therapy is more effective than chemotherapy followed by radiation therapy       alone in treating non small cell lung cancer         PURPOSE  Randomized phase III trial to compare the effectiveness of chemotherapy followed by       surgery with or without radiation therapy to that of chemotherapy followed by radiation       therapy alone in treating patients who have stage III non small cell lung cancer,NCT00002623
Video Assisted Surgery Followed by Radiation Therapy in Treating Patients With Stage I Non small Cell Lung Cancer and Poor Heart and Lung Function,RATIONALE  Video assisted surgery followed by radiation therapy may be an effective       treatment in patients whose poor heart and lung function make them high risk for standard       surgery         PURPOSE  Phase II trial to study the effectiveness of video assisted surgery followed by       radiation therapy in treating patients with stage I non small cell lung cancer and poor       heart and lung function,NCT00002624
Hormone Therapy With or Without Surgery or Radiation Therapy in Treating Patients With Prostate Cancer,RATIONALE  Hormones can stimulate the growth of prostate cancer cells  Hormone therapy may       fight prostate cancer by reducing the production of androgens  Radiation therapy uses       high energy x rays to damage tumor cells  It is not yet known whether hormone therapy plus       surgery is more effective than hormone therapy plus radiation therapy for prostate cancer         PURPOSE  This randomized phase III trial is studying giving hormone therapy alone to see how       well it works compared to giving hormone therapy together with bilateral orchiectomy or       radiation therapy in treating patients with stage III or stage IV prostate cancer,NCT00002633
Chemotherapy  Radiation Therapy  Immunotherapy  and Bone Marrow Transplantation in Treating Patients With Neuroblastoma,RATIONALE  Drugs used in chemotherapy use different ways to stop tumor cells from dividing       so they stop growing or die  Combining chemotherapy with bone marrow transplantation may       allow the doctor to give higher doses of chemotherapy drugs and kill more tumor cells        Radiation therapy uses high energy x rays to damage tumor cells  Monoclonal antibodies can       locate tumor cells and either kill them or deliver tumor killing substances to them without       harming normal cells         PURPOSE  Phase II trial to study the effectiveness of combining chemotherapy  radiation       therapy  immunotherapy  and bone marrow transplantation in treating patients with       neuroblastoma,NCT00002634
Biological Therapy in Treating Patients With Prostate Cancer,RATIONALE  Interleukin 2 may stimulate a person s white blood cells including natural killer       cells to kill prostate cancer cells  Interferon gamma may interfere with the growth of the       cancer cells  Combining interferon gamma with interleukin 2 may be a more effective       treatment for prostate cancer         PURPOSE  Phase I II trial to study the effectiveness of biological therapy using       interleukin 2 and interferon gamma in treating patients with advanced prostate cancer,NCT00002637
SWOG 9416  Chemotherapy  Radiation Therapy  and Surgery in Treating Patients With Stage III Non small Cell Lung Cancer,RATIONALE  Drugs used in chemotherapy use different ways to stop tumor cells from dividing       so they stop growing or die  Radiation therapy uses high energy x rays to kill tumor cells        Combining radiation therapy with chemotherapy may kill more tumor cells         PURPOSE  Phase II trial to study the effectiveness of chemotherapy using cisplatin and       etoposide  radiation therapy  and surgery  with adjuvant therapy using cisplatin and       etoposide  in treating patients who have stage III non small cell lung cancer,NCT00002642
Hormone Therapy in Treating Postmenopausal Women With Receptor Positive Breast Cancer,RATIONALE  Estrogen can stimulate the growth of breast cancer cells  Hormone therapy using       tamoxifen may fight breast cancer by blocking the uptake of estrogen  Combining chemotherapy       with hormone therapy may kill more tumor cells  Chemoprevention therapy is the use of       certain drugs to try to prevent the development or recurrence of cancer  The use of       fenretinide may be an effective way to prevent the recurrence of breast cancer  It is not       yet known whether tamoxifen plus fenretinide is more effective than tamoxifen alone for       breast cancer         PURPOSE  Randomized phase III trial to compare the effectiveness of tamoxifen plus       fenretinide with tamoxifen alone in treating postmenopausal women who have stage II or stage       III breast cancer that is estrogen receptor positive and or progesterone receptor positive,NCT00002646
Hormone Therapy in Treating Men With Stage IV Prostate Cancer,RATIONALE  Testosterone can stimulate the growth of prostate cancer cells  Hormone therapy       may be effective treatment for prostate cancer  It is not yet known which regimen of hormone       therapy is most effective for stage IV prostate cancer         PURPOSE  This randomized phase III trial is studying two different regimens of hormone       therapy and comparing how well they work in treating men with stage IV prostate cancer,NCT00002651
Pyrazoloacridine in Treating Patients With Advanced Non small Cell Lung Cancer,RATIONALE  Drugs used in chemotherapy use different ways to stop tumor cells from dividing       so they stop growing or die         PURPOSE  Phase II trial to study the effectiveness of chemotherapy with pyrazoloacridine in       treating patients with stage IIIB or stage IV non small cell lung cancer,NCT00002656
Early Detection of Second Lung Cancer in Patients With Stage I Non small Cell Lung Cancer,RATIONALE  Using new methods to examine sputum samples for the presence of cancer cells may       detect lung cancer earlier         PURPOSE  Screening trial to study the effectiveness of new methods of examining sputum       samples to detect second primary lung cancer in patients with resected stage I non small       cell lung cancer,NCT00002667
Pain Control in Patients With Recurrent or Metastatic Breast or Prostate Cancer,RATIONALE  An outpatient educational and behavioral skills training program may help       patients with metastatic breast or prostate cancer live longer and more comfortably         PURPOSE  This randomized clinical trial studies whether an outpatient educational and       behavioral skills training program will improve pain control in patients who have metastatic       or recurrent breast or prostate cancer,NCT00002668
Tributyrin in Treating Patients With Refractory Prostate Cancer or Other Solid Tumors,Phase I trial to study the effectiveness of tributyrin in treating patients with refractory       stage IV prostate cancer or other solid tumors  Drugs used in chemotherapy use different       ways to stop tumor cells from dividing so they stop growing or die,NCT00002677
Radiation Therapy in Treating Patients With Stage I or Stage II Prostate Cancer,RATIONALE  Radiation therapy uses high energy x rays to damage tumor cells         PURPOSE  Randomized phase III trial to compare the effectiveness of conventional radiation       therapy with high dose radiation therapy in treating men with stage I or stage II prostate       cancer,NCT00002703
Doxorubicin Plus Estramustine in Treating Patients With Metastatic Prostate Cancer,RATIONALE  Drugs used in chemotherapy use different ways to stop tumor cells from dividing       so they stop growing or die  Combining more than one drug may kill more tumor cells         PURPOSE  Phase I trial to study the effectiveness of doxorubicin plus estramustine in       treating patients with metastatic recurrent prostate cancer that does not respond to hormone       therapy,NCT00002721
Low  Intermediate  or High Dose Suramin in Treating Patients With Hormone Refractory Prostate Cancer,Randomized phase III trial to compare the effectiveness of low  intermediate  and high dose       suramin in treating men with stage IV prostate cancer that is refractory to hormone therapy        Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop       growing or die  It is not yet known which regimen of suramin is more effective for prostate       cancer,NCT00002723
Chemotherapy in Treating Children With Neuroblastoma,RATIONALE  Drugs used in chemotherapy use different ways to stop tumor cells from dividing       so they stop growing or die  Some tumors become resistant to chemotherapy drugs  Combining       buthionine sulfoximine with chemotherapy may reduce resistance to the drug and allow more       tumor cells to be killed         PURPOSE  Phase I trial to study the effectiveness of melphalan  buthionine sulfoximine  and       G CSF in treating children with progressive neuroblastoma that has not responded to previous       therapy,NCT00002730
Biological Therapy in Treating Patients With Metastatic Cancer,RATIONALE  Biological therapies use different ways to stimulate the immune system and stop       cancer cells from growing  Combining different types of biological therapies  including       interferon alfa  interleukin 2  and tumor infiltrating lymphocytes  may kill more cancer       cells         PURPOSE  Phase II trial to study the effectiveness of biological therapies  including       interferon alfa  interleukin 2  and tumor infiltrating lymphocytes  in treating patients       with metastatic cancer,NCT00002733
Combination Chemotherapy Plus Peripheral Stem Cell Transplantation Followed by Surgery and or Radiation Therapy in Treating Young Patients With Advanced Neuroblastoma,RATIONALE  Drugs used in chemotherapy use different ways to stop tumor cells from dividing       so they stop growing or die  Peripheral stem cell transplantation may allow doctors to give       higher doses of chemotherapy drugs and kill more tumor cells  Radiation therapy uses       high energy x rays to damage tumor cells         PURPOSE  Phase I trial to study the effectiveness of combination chemotherapy plus       peripheral stem cell transplantation followed by surgery and or radiation therapy in       treating young patients who have newly diagnosed advanced neuroblastoma,NCT00002740
Gene Therapy in Treating Children With Refractory or Recurrent Neuroblastoma,RATIONALE  Inserting the gene for interleukin 2 into a person s neuroblastoma cells may make       the body build an immune response and kill tumor cells         PURPOSE  Phase I trial to study the effectiveness of using interleukin 2 gene modified       neuroblastoma cells in treating children who have refractory or recurrent neuroblastoma,NCT00002748
Antiandrogen Withdrawal in Treating Patients With Hormone Refractory Prostate Cancer,RATIONALE  Antiandrogen withdrawal may be an effective treatment for prostate cancer         PURPOSE  Randomized phase III trial to study the effectiveness of ketoconazole and       hydrocortisone for antiandrogen withdrawal in treating men with prostate cancer that is       refractory to hormone therapy,NCT00002760
Docetaxel Plus Estramustine in Treating Patients With Metastatic Prostate Cancer,RATIONALE  Drugs used in chemotherapy use different ways to stop tumor cells from dividing       so they stop growing or die  Combining more than one drug may kill more tumor cells         PURPOSE  Phase I II trial to study the effectiveness of combining docetaxel and estramustine       in treating patients who have metastatic prostate cancer,NCT00002775
Therapy Based on Stage of Disease and Risk Assessment in Treating Children With Neuroblastoma,RATIONALE  Drugs used in chemotherapy use different ways to stop tumor cells from dividing       so they stop growing or die  Combining chemotherapy with bone marrow transplantation may       allow the doctor to give higher doses of chemotherapy drugs and kill more tumor cells        Radiation therapy uses high energy x rays to damage tumor cells  It is not yet known which       treatment regimen is most effective in treating patients with different stages of and risk       factors for neuroblastoma         PURPOSE  Phase III trial to study the effectiveness of therapy based on stage of disease and       risk assessment in treating children with neuroblastoma,NCT00002802
Combination Chemotherapy or Observation Following Surgery in Treating Infants With Neuroblastoma,RATIONALE  Sometimes neuroblastoma will regress without treatment  but sometimes additional       treatment may be necessary  Giving more than one chemotherapy drug after surgery to remove       the tumor may kill more tumor cells         PURPOSE  Phase II trial to study combination chemotherapy or observation following surgery       in treating infants with neuroblastoma,NCT00002803
Combination Chemotherapy Compared With No Treatment Following Surgery in Treating Patients With Non small Cell Lung Cancer,RATIONALE  Drugs used in chemotherapy use different ways to stop tumor cells from dividing       so they stop growing or die  It is not yet known if combination chemotherapy given after       surgery is more effective than surgery alone for non small cell lung cancer         PURPOSE  Randomized phase III trial to compare the effectiveness of combination chemotherapy       following surgery with that of surgery alone in treating patients who have stage I  stage       II  or stage IIIA non small cell lung cancer,NCT00002823
Group Therapy Compared With Educational Materials in Patients With Prostate Cancer,RATIONALE  Developing coping strategies may help improve the quality of life of patients       with prostate cancer         PURPOSE  This randomized clinical trial is comparing the effect of group therapy with       written educational materials on the quality of life of men with stage I or stage II       prostate cancer,NCT00002848
Surgery With or Without Chemotherapy in Treating Patients With Stage I Non small Cell Lung Cancer,Randomized phase III trial to compare the effectiveness of surgery with or without       combination chemotherapy in treating patients who have stage I non small cell lung cancer        Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop       growing or die  Combining more than one drug may kill more tumor cells  It is not yet known       whether surgery is more effective with or without chemotherapy for non small cell lung       cancer,NCT00002852
Chemotherapy Plus Hormone Therapy Versus Androgen Suppression in Treating Patients With Metastatic or Unresectable Prostate Cancer,RATIONALE  Drugs used in chemotherapy use different ways to stop tumor cells from dividing       so they stop growing or die  Combining hormone therapy with chemotherapy and androgen       suppression may kill more tumor cells  It is not yet known which treatment regimen is more       effective for prostate cancer         PURPOSE  Randomized phase III trial to compare the effectiveness of chemotherapy plus       hormone therapy versus androgen suppression alone as initial therapy in patients with       prostate cancer that is metastatic or that cannot be removed surgically,NCT00002855
Radiation Therapy With or Without Bicalutamide in Treating Patients With Stage II  Stage III  or Recurrent Prostate Cancer,RATIONALE  Radiation therapy uses high energy x rays to damage tumor cells  Androgens can       stimulate the growth of prostate cancer cells  Hormone therapy using bicalutamide may fight       prostate cancer by reducing the production of androgens  It is not yet known if radiation       therapy is more effective with or without bicalutamide for prostate cancer         PURPOSE  Randomized phase III trial to compare the effectiveness of radiation therapy with       or without bicalutamide in treating patients who have stage II  stage III  or recurrent       prostate cancer and elevated PSA levels following radical prostatectomy,NCT00002874
Flutamide  Suramin  and Hydrocortisone in Treating Patients With Prostate Cancer,RATIONALE  Hormone therapy may be an effective treatment for prostate cancer         PURPOSE  Randomized phase III trial to evaluate the effectiveness of treatment with       flutamide and suramin with or without hydrocortisone in men who have metastatic or recurrent       prostate cancer,NCT00002881
Hydroxyurea Plus Combination Chemotherapy in Patients With Non small Cell Lung Cancer,RATIONALE  Drugs used in chemotherapy use different ways to stop tumor cells from dividing       so they stop growing or die  Combining more than one drug is a way to kill more tumor cells         PURPOSE  Phase I trial to study the effects of hydroxyurea plus combination chemotherapy in       patients with non small cell lung cancer,NCT00002887
Radiation Therapy With Androgen Suppression in Treating Patients With Prostate Cancer,RATIONALE  Imaging procedures such as MRI may improve the ability to determine the response       of prostate tumors to therapy         PURPOSE  Phase II trial to study MRI results in patients with prostate cancer that has been       treated with radiation therapy plus androgen suppression therapy,NCT00002889
Marimastat in Treating Patients With Stage III Non small Cell Lung Cancer,RATIONALE  Marimastat may stop the growth of non small cell lung cancer by stopping blood       flow to the tumor         PURPOSE  Randomized double blinded phase III trial to determine the effectiveness of       marimastat in treating patients who have residual stage III non small cell lung cancer,NCT00002911
